"mokupuni","moku","ahupuaa","biome_unit","polygon_count"
"Hawaiʻi","Hilo","Alakahi","Agriculture",17
"Hawaiʻi","Hilo","Alakahi","Developed",61
"Hawaiʻi","Hilo","Alakahi","Not Vegetated",3
"Hawaiʻi","Hilo","Alakahi","Wet Forest",91
"Hawaiʻi","Hilo","Alakahi","Wet Grassland",31
"Hawaiʻi","Hilo","Alakahi","Wet Shrubland",46
"Hawaiʻi","Hilo","Aleamai","Agriculture",24
"Hawaiʻi","Hilo","Aleamai","Developed",72
"Hawaiʻi","Hilo","Aleamai","N/A Forest",1
"Hawaiʻi","Hilo","Aleamai","Not Vegetated",1
"Hawaiʻi","Hilo","Aleamai","Wet Forest",58
"Hawaiʻi","Hilo","Aleamai","Wet Grassland",59
"Hawaiʻi","Hilo","Hakalau","Agriculture",55
"Hawaiʻi","Hilo","Hakalau","Developed",329
"Hawaiʻi","Hilo","Hakalau","Mesic Forest",74
"Hawaiʻi","Hilo","Hakalau","Mesic Grassland",1
"Hawaiʻi","Hilo","Hakalau","N/A Forest",2
"Hawaiʻi","Hilo","Hakalau","Not Vegetated",74
"Hawaiʻi","Hilo","Hakalau","Wet Forest",1408
"Hawaiʻi","Hilo","Hakalau","Wet Grassland",87
"Hawaiʻi","Hilo","Hakalau","Wet Shrubland",364
"Hawaiʻi","Hilo","Hakalau","Wetland",1
"Hawaiʻi","Hilo","Haʻikū","Agriculture",5
"Hawaiʻi","Hilo","Haʻikū","Developed",14
"Hawaiʻi","Hilo","Haʻikū","Dry Forest",2
"Hawaiʻi","Hilo","Haʻikū","Not Vegetated",2
"Hawaiʻi","Hilo","Haʻikū","Wet Forest",26
"Hawaiʻi","Hilo","Haʻikū","Wet Grassland",40
"Hawaiʻi","Hilo","Haʻikū","Wet Shrubland",6
"Hawaiʻi","Hilo","Honohina","Agriculture",17
"Hawaiʻi","Hilo","Honohina","Developed",111
"Hawaiʻi","Hilo","Honohina","Mesic Forest",24
"Hawaiʻi","Hilo","Honohina","Mesic Grassland",8
"Hawaiʻi","Hilo","Honohina","Not Vegetated",54
"Hawaiʻi","Hilo","Honohina","Wet Forest",643
"Hawaiʻi","Hilo","Honohina","Wet Grassland",62
"Hawaiʻi","Hilo","Honohina","Wet Shrubland",154
"Hawaiʻi","Hilo","Honohina","Wetland",1
"Hawaiʻi","Hilo","Honomainoa","Agriculture",10
"Hawaiʻi","Hilo","Honomainoa","Developed",20
"Hawaiʻi","Hilo","Honomainoa","Dry Forest",4
"Hawaiʻi","Hilo","Honomainoa","N/A Forest",1
"Hawaiʻi","Hilo","Honomainoa","Not Vegetated",2
"Hawaiʻi","Hilo","Honomainoa","Wet Forest",19
"Hawaiʻi","Hilo","Honomainoa","Wet Grassland",27
"Hawaiʻi","Hilo","Honomainoa","Wet Shrubland",2
"Hawaiʻi","Hilo","Honomū, Kuhua","Agriculture",88
"Hawaiʻi","Hilo","Honomū, Kuhua","Developed",485
"Hawaiʻi","Hilo","Honomū, Kuhua","N/A Forest",9
"Hawaiʻi","Hilo","Honomū, Kuhua","Not Vegetated",82
"Hawaiʻi","Hilo","Honomū, Kuhua","Wet Forest",465
"Hawaiʻi","Hilo","Honomū, Kuhua","Wet Grassland",254
"Hawaiʻi","Hilo","Honomū, Kuhua","Wet Shrubland",115
"Hawaiʻi","Hilo","Humuʻula","Agriculture",87
"Hawaiʻi","Hilo","Humuʻula","Developed",572
"Hawaiʻi","Hilo","Humuʻula","Dry Forest",1272
"Hawaiʻi","Hilo","Humuʻula","Dry Grassland",392
"Hawaiʻi","Hilo","Humuʻula","Dry Shrubland",862
"Hawaiʻi","Hilo","Humuʻula","Mesic Forest",862
"Hawaiʻi","Hilo","Humuʻula","Mesic Grassland",344
"Hawaiʻi","Hilo","Humuʻula","Mesic Shrubland",1306
"Hawaiʻi","Hilo","Humuʻula","N/A Forest",1
"Hawaiʻi","Hilo","Humuʻula","Not Vegetated",1145
"Hawaiʻi","Hilo","Humuʻula","Wet Forest",180
"Hawaiʻi","Hilo","Humuʻula","Wet Grassland",34
"Hawaiʻi","Hilo","Humuʻula","Wet Shrubland",80
"Hawaiʻi","Hilo","Humuʻula","Wetland",2
"Hawaiʻi","Hilo","Kahaliʻi","Agriculture",9
"Hawaiʻi","Hilo","Kahaliʻi","Developed",33
"Hawaiʻi","Hilo","Kahaliʻi","Not Vegetated",5
"Hawaiʻi","Hilo","Kahaliʻi","Wet Forest",5
"Hawaiʻi","Hilo","Kahaliʻi","Wet Grassland",15
"Hawaiʻi","Hilo","Kahoahuna, Paʻana","Agriculture",76
"Hawaiʻi","Hilo","Kahoahuna, Paʻana","Developed",125
"Hawaiʻi","Hilo","Kahoahuna, Paʻana","Dry Forest",7
"Hawaiʻi","Hilo","Kahoahuna, Paʻana","N/A Forest",10
"Hawaiʻi","Hilo","Kahoahuna, Paʻana","Not Vegetated",16
"Hawaiʻi","Hilo","Kahoahuna, Paʻana","Wet Forest",206
"Hawaiʻi","Hilo","Kahoahuna, Paʻana","Wet Grassland",130
"Hawaiʻi","Hilo","Kahoahuna, Paʻana","Wet Shrubland",15
"Hawaiʻi","Hilo","Kahua","Agriculture",17
"Hawaiʻi","Hilo","Kahua","Developed",85
"Hawaiʻi","Hilo","Kahua","Not Vegetated",12
"Hawaiʻi","Hilo","Kahua","Wet Forest",18
"Hawaiʻi","Hilo","Kahua","Wet Grassland",50
"Hawaiʻi","Hilo","Kahua","Wet Shrubland",3
"Hawaiʻi","Hilo","Kaiaʻakea","Agriculture",17
"Hawaiʻi","Hilo","Kaiaʻakea","Developed",19
"Hawaiʻi","Hilo","Kaiaʻakea","Dry Forest",1
"Hawaiʻi","Hilo","Kaiaʻakea","N/A Forest",2
"Hawaiʻi","Hilo","Kaiaʻakea","Not Vegetated",1
"Hawaiʻi","Hilo","Kaiaʻakea","Wet Forest",15
"Hawaiʻi","Hilo","Kaiaʻakea","Wet Grassland",17
"Hawaiʻi","Hilo","Kaiaʻakea","Wet Shrubland",9
"Hawaiʻi","Hilo","Kaihuiki","Agriculture",3
"Hawaiʻi","Hilo","Kaihuiki","Developed",15
"Hawaiʻi","Hilo","Kaihuiki","Not Vegetated",9
"Hawaiʻi","Hilo","Kaihuiki","Wet Forest",10
"Hawaiʻi","Hilo","Kaihuiki","Wet Grassland",14
"Hawaiʻi","Hilo","Kaihuiki","Wet Shrubland",3
"Hawaiʻi","Hilo","Kaiwiki, Maumau","Agriculture",40
"Hawaiʻi","Hilo","Kaiwiki, Maumau","Developed",254
"Hawaiʻi","Hilo","Kaiwiki, Maumau","N/A Forest",1
"Hawaiʻi","Hilo","Kaiwiki, Maumau","Not Vegetated",14
"Hawaiʻi","Hilo","Kaiwiki, Maumau","Wet Forest",209
"Hawaiʻi","Hilo","Kaiwiki, Maumau","Wet Grassland",150
"Hawaiʻi","Hilo","Kaiwiki, Maumau","Wet Shrubland",37
"Hawaiʻi","Hilo","Kaiwikinui","Agriculture",27
"Hawaiʻi","Hilo","Kaiwikinui","Developed",132
"Hawaiʻi","Hilo","Kaiwikinui","N/A Forest",1
"Hawaiʻi","Hilo","Kaiwikinui","Not Vegetated",27
"Hawaiʻi","Hilo","Kaiwikinui","Wet Forest",734
"Hawaiʻi","Hilo","Kaiwikinui","Wet Grassland",98
"Hawaiʻi","Hilo","Kaiwikinui","Wet Shrubland",227
"Hawaiʻi","Hilo","Kalalau","Agriculture",29
"Hawaiʻi","Hilo","Kalalau","Developed",54
"Hawaiʻi","Hilo","Kalalau","N/A Forest",2
"Hawaiʻi","Hilo","Kalalau","Not Vegetated",17
"Hawaiʻi","Hilo","Kalalau","Wet Forest",113
"Hawaiʻi","Hilo","Kalalau","Wet Grassland",89
"Hawaiʻi","Hilo","Kalalau","Wet Shrubland",8
"Hawaiʻi","Hilo","Kalaoa","Agriculture",18
"Hawaiʻi","Hilo","Kalaoa","Developed",78
"Hawaiʻi","Hilo","Kalaoa","N/A Forest",1
"Hawaiʻi","Hilo","Kalaoa","Not Vegetated",8
"Hawaiʻi","Hilo","Kalaoa","Wet Forest",35
"Hawaiʻi","Hilo","Kalaoa","Wet Grassland",34
"Hawaiʻi","Hilo","Kalaoa","Wet Shrubland",5
"Hawaiʻi","Hilo","Kamaʻeʻe","Agriculture",37
"Hawaiʻi","Hilo","Kamaʻeʻe","Developed",78
"Hawaiʻi","Hilo","Kamaʻeʻe","N/A Forest",2
"Hawaiʻi","Hilo","Kamaʻeʻe","Not Vegetated",42
"Hawaiʻi","Hilo","Kamaʻeʻe","Wet Forest",271
"Hawaiʻi","Hilo","Kamaʻeʻe","Wet Grassland",136
"Hawaiʻi","Hilo","Kamaʻeʻe","Wet Shrubland",124
"Hawaiʻi","Hilo","Kauhiula","Agriculture",4
"Hawaiʻi","Hilo","Kauhiula","Developed",25
"Hawaiʻi","Hilo","Kauhiula","Not Vegetated",3
"Hawaiʻi","Hilo","Kauhiula","Wet Forest",3
"Hawaiʻi","Hilo","Kauhiula","Wet Grassland",6
"Hawaiʻi","Hilo","Kauhiula","Wet Shrubland",1
"Hawaiʻi","Hilo","Kaupakuea, Makea","Agriculture",16
"Hawaiʻi","Hilo","Kaupakuea, Makea","Developed",174
"Hawaiʻi","Hilo","Kaupakuea, Makea","N/A Forest",1
"Hawaiʻi","Hilo","Kaupakuea, Makea","Not Vegetated",16
"Hawaiʻi","Hilo","Kaupakuea, Makea","Wet Forest",44
"Hawaiʻi","Hilo","Kaupakuea, Makea","Wet Grassland",88
"Hawaiʻi","Hilo","Kaupakuea, Makea","Wet Shrubland",12
"Hawaiʻi","Hilo","Kawainui","Agriculture",16
"Hawaiʻi","Hilo","Kawainui","Developed",94
"Hawaiʻi","Hilo","Kawainui","N/A Forest",1
"Hawaiʻi","Hilo","Kawainui","Not Vegetated",13
"Hawaiʻi","Hilo","Kawainui","Wet Forest",101
"Hawaiʻi","Hilo","Kawainui","Wet Grassland",41
"Hawaiʻi","Hilo","Kawainui","Wet Shrubland",22
"Hawaiʻi","Hilo","Kaūmana","Agriculture",48
"Hawaiʻi","Hilo","Kaūmana","Developed",317
"Hawaiʻi","Hilo","Kaūmana","Dry Forest",11
"Hawaiʻi","Hilo","Kaūmana","Not Vegetated",42
"Hawaiʻi","Hilo","Kaūmana","Wet Forest",434
"Hawaiʻi","Hilo","Kaūmana","Wet Grassland",127
"Hawaiʻi","Hilo","Kaūmana","Wet Shrubland",114
"Hawaiʻi","Hilo","Kaʻakepa","Agriculture",2
"Hawaiʻi","Hilo","Kaʻakepa","Developed",3
"Hawaiʻi","Hilo","Kaʻakepa","N/A Forest",7
"Hawaiʻi","Hilo","Kaʻakepa","Not Vegetated",10
"Hawaiʻi","Hilo","Kaʻakepa","Wet Forest",4
"Hawaiʻi","Hilo","Kaʻakepa","Wet Grassland",52
"Hawaiʻi","Hilo","Kaʻakepa","Wet Shrubland",1
"Hawaiʻi","Hilo","Kaʻapoko","Agriculture",5
"Hawaiʻi","Hilo","Kaʻapoko","Developed",74
"Hawaiʻi","Hilo","Kaʻapoko","Not Vegetated",3
"Hawaiʻi","Hilo","Kaʻapoko","Wet Forest",7
"Hawaiʻi","Hilo","Kaʻapoko","Wet Grassland",19
"Hawaiʻi","Hilo","Kaʻieʻie","Agriculture",35
"Hawaiʻi","Hilo","Kaʻieʻie","Developed",148
"Hawaiʻi","Hilo","Kaʻieʻie","N/A Forest",1
"Hawaiʻi","Hilo","Kaʻieʻie","Not Vegetated",15
"Hawaiʻi","Hilo","Kaʻieʻie","Wet Forest",52
"Hawaiʻi","Hilo","Kaʻieʻie","Wet Grassland",66
"Hawaiʻi","Hilo","Kaʻieʻie","Wet Shrubland",2
"Hawaiʻi","Hilo","Kukuikea","Agriculture",3
"Hawaiʻi","Hilo","Kukuikea","Developed",23
"Hawaiʻi","Hilo","Kukuikea","Not Vegetated",1
"Hawaiʻi","Hilo","Kukuikea","Wet Forest",11
"Hawaiʻi","Hilo","Kukuikea","Wet Grassland",11
"Hawaiʻi","Hilo","Kulanakiʻi, Kahīnano","Agriculture",59
"Hawaiʻi","Hilo","Kulanakiʻi, Kahīnano","Developed",35
"Hawaiʻi","Hilo","Kulanakiʻi, Kahīnano","Dry Forest",10
"Hawaiʻi","Hilo","Kulanakiʻi, Kahīnano","N/A Forest",20
"Hawaiʻi","Hilo","Kulanakiʻi, Kahīnano","Not Vegetated",9
"Hawaiʻi","Hilo","Kulanakiʻi, Kahīnano","Wet Forest",440
"Hawaiʻi","Hilo","Kulanakiʻi, Kahīnano","Wet Grassland",178
"Hawaiʻi","Hilo","Kulanakiʻi, Kahīnano","Wet Shrubland",40
"Hawaiʻi","Hilo","Kulaʻikahonu","Agriculture",4
"Hawaiʻi","Hilo","Kulaʻikahonu","Developed",5
"Hawaiʻi","Hilo","Kulaʻikahonu","N/A Forest",10
"Hawaiʻi","Hilo","Kulaʻikahonu","Not Vegetated",6
"Hawaiʻi","Hilo","Kulaʻikahonu","Wet Forest",13
